"time{s}","accelerometer_y","accelerometer_z","encoder_L","encoder_R","gyro_x","mux_out[1]","mux_out[2]","mux_out[3]","mux_out[4]","mux_out[5]","mux_out[6]","fallen_down"
2.71399999999981,0.509292886135441,-0.358409375286111,0.249755859433151,0.388854980559287,-0.503555406353954,-0.969832656753406,0.065845958787321,0,0,0.00679004196287796,0.0171543237244878,1
2.71499999999981,0.529313028351695,-0.440931424909207,0.249816894589415,0.38903808602808,-0.490493484298227,-0.964694256308961,0.0660128750704005,0,0,0.00657209839250244,0.0171638808064094,1
2.71599999999981,0.558610797448653,-0.447279274880215,0.249694824276887,0.389099121184344,-0.498123111667226,-0.959497157442029,0.0661944925157067,0,0,0.00641377752093771,0.0172192016896878,1
2.71699999999981,0.580584124271371,-0.417493209631642,0.250122070370736,0.389465332121929,-0.501724295785394,-0.954261598757658,0.0662523984374055,0,0,0.00678108420508584,0.0171264642975117,1
2.71799999999981,0.572771385845515,-0.38624225592822,0.250061035214472,0.389404296965665,-0.506851405377361,-0.949011609936836,0.0663722619123246,0,0,0.00674210996063351,0.0172500750392166,1
2.71899999999981,0.543961912900174,-0.45265053254799,0.250366210995793,0.389770507903251,-0.520096438489944,-0.94373208120921,0.0665155554028828,0,0,0.00664811146206831,0.0172426900464525,1
2.71999999999981,0.58302560502945,-0.446790978728599,0.250549316464586,0.389709472746986,-0.528092287972655,-0.938409041192957,0.0666939259356969,0,0,0.00671504084013718,0.0172588223657742,1
2.72099999999981,0.582049012726218,-0.398937955870235,0.250732421933378,0.389709472746986,-0.524796288949248,-0.933058665213847,0.0669749635817195,0,0,0.00654084682348711,0.0173011942247623,1
2.72199999999981,0.550309762871181,-0.394054994354076,0.250671386777114,0.390075683684572,-0.521927549058504,-0.927689617061548,0.0673070876039442,0,0,0.00651166057905775,0.0169468441312096,1
2.72299999999981,0.681173131504257,-0.401379436628315,0.250915527402171,0.390319824309628,-0.529251991332743,-0.922282588670866,0.0675900062341023,0,0,0.00673448598040264,0.0170625153902105,1
2.72399999999981,0.67726676229133,-0.439954832605976,0.251098632870963,0.390563964934685,-0.514542069765313,-0.916837733909758,0.0678304845079753,0,0,0.006879639983581,0.0174373784684802,1
2.72499999999981,0.584978789635914,-0.448744163335063,0.251159668027228,0.390686035247214,-0.514419995727409,-0.911347905748832,0.0681188251402784,0,0,0.00673589427389753,0.0176414826417712,1
2.72599999999981,0.665059358500931,-0.435071871089816,0.250976562558435,0.390747070403478,-0.517960142826624,-0.905805431748287,0.0682625799212191,0,0,0.0067722567988548,0.0176741691156844,1
2.72699999999981,0.663106173894467,-0.351573229163488,0.250305175839529,0.390930175872271,-0.515152439954833,-0.900248134628978,0.0683962527886521,0,0,0.00720347636395302,0.0175073324958986,1
2.72799999999981,0.75930051576281,-0.346690267647328,0.250000000058208,0.391296386809856,-0.51966917935728,-0.894679919222135,0.068551963234886,0,0,0.00839787265362999,0.0174133667109113,1
2.72899999999981,0.870143742179632,-0.426770836512345,0.249267578183037,0.391601562591177,-0.506424146244697,-0.889068959257599,0.0686737508178734,0,0,0.00964976788284182,0.0176535857355878,1
2.72999999999981,0.744163335062716,-0.37061677907651,0.248657226620395,0.391601562591177,-0.490737632374035,-0.883392223402084,0.0688267190279745,0,0,0.0108739616749878,0.0179937997898619,1
2.73099999999981,0.966338084047975,-0.721701712088382,0.247497558651375,0.391662597747441,-0.476638080996124,-0.877647793235289,0.0688562014976552,0,0,0.0123062413425782,0.0178692117367852,1
2.73199999999981,0.78225043488876,-0.608905301065096,0.246398925838619,0.391784668059969,-0.483291116061892,-0.871856460879661,0.068748966380147,0,0,0.0140650828902606,0.0174392886087587,0
2.73299999999981,0.586443678090762,-0.508316293832209,0.245422363338392,0.391906738372498,-0.462477492599261,-0.866068801548921,0.0685272478398341,0,0,0.01623044464451,0.0171528182616898,0
2.73399999999981,0.713888973662526,-0.110843226416822,0.244140625056843,0.392272949310083,-0.475844599749748,-0.860333776281604,0.0683766599019871,0,0,0.0180408547386932,0.0169250255758884,0
2.73499999999981,0.849147007660146,-0.0527359843745231,0.243041992244088,0.392333984466347,-0.459730826746422,-0.854660690509488,0.0680565880965388,0,0,0.0199245567262022,0.0169607552533862,0
2.73599999999981,0.534195989867855,-0.394054994354076,0.242126464900124,0.392333984466347,-0.459730826746422,-0.848959055978359,0.0678715509942949,0,0,0.0218181538771846,0.0169207536176037,0
2.73699999999981,0.526871547593616,-0.583513901181066,0.240722656306048,0.392333984466347,-0.46119571520127,-0.843097449533723,0.0675596015972695,0,0,0.0231725202507437,0.0164593122833837,0
2.73799999999981,0.84865871150853,-0.24024170659505,0.23974609380582,0.392333984466347,-0.464674825281533,-0.837192726585256,0.0672672525589239,0,0,0.0247737600190305,0.0159589571048612,0
2.73899999999981,0.84377574999237,-0.106448561052278,0.238769531305593,0.392456054778876,-0.464064455092013,-0.831402543094175,0.0670058667632015,0,0,0.0263477857442605,0.0154933458426565,0
2.73999999999981,0.7773674733726,-0.226081118198187,0.237121582086459,0.392883300872725,-0.456190679647206,-0.825649730323983,0.0667908160470416,0,0,0.0273645814369442,0.0151893593396504,0
2.74099999999981,0.781762138737144,-0.363292336802271,0.236206054742496,0.392761230560197,-0.457594531083102,-0.819792202324314,0.0665840296947156,0,0,0.0290302791480358,0.0153504658623637,0
2.74199999999981,0.766624958037049,-0.292001098666341,0.234985351617212,0.392822265716461,-0.453138828699606,-0.813841200152383,0.066322541154045,0,0,0.0305156618432884,0.0152247127821209,0
