"time{s}","TurningAngularVel\system\BodyAngle\plot{rad}","TurningAngularVel\system\BodyAngularVel\plot{rad/s}","TurningAngularVel\system\MotorLAngle\plot","TurningAngularVel\system\BodyX\input","TurningAngularVel\system\BodyY\input","TurningAngularVel\system\TurningAngle\input","TurningAngularVel\system\BodyAngle\input{rad}","TurningAngularVel\system\BodyZ\input","TurningAngularVel\system\MotorRAngle\plot","TurningAngularVel\system\WheelMass\state","TurningAngularVel\system\WheelMass1\state"
1.219,-0.289444103331561,-3.52275763145593,1.22611092169953,-0.0348834755429214,0.128852699123768,-1.56423921751593e-17,-0.289444103331561,-2.85134602039983e-19,-1.22611092169953,-0.0866770428468124,-0.0866770428468124
1.22,-0.29299916779481,-3.55506446324561,1.23797334157607,-0.0351921257548865,0.128757905776107,-1.54134264779823e-17,-0.29299916779481,-2.89891901880521e-19,-1.23797334157607,-0.0872012914257265,-0.0872012914257265
1.22,-0.29299916779481,-3.55506446324561,1.23797334157607,-0.0351921257548865,0.128757905776107,-1.54134264779823e-17,-0.29299916779481,-2.89891901880521e-19,-1.23797334157607,-0.0872012914257265,-0.0872012914257265
1.221,-0.296586726092496,-3.58755829768622,1.24989601902068,-0.0355019963644903,0.128661109048563,-1.5413426476651e-17,-0.296586726092496,-2.94668069743349e-19,-1.24989601902068,-0.0877258933584202,-0.0877258933584202
1.222,-0.300206964048542,-3.62023795604525,1.26187882075046,-0.0358130867031846,0.128562274096273,-1.54517734022618e-17,-0.300206964048542,-2.99474968024299e-19,-1.26187882075046,-0.0882507924630392,-0.0882507924630392
1.223,-0.303860066246335,-3.65310219779322,1.27392160451524,-0.0361253961812803,0.128461365673133,-1.54938314524457e-17,-0.303860066246335,-3.04313839375094e-19,-1.27392160451524,-0.0887759310043446,-0.0887759310043446
1.224,-0.307546215966709,-3.68614972037413,1.28602421888318,-0.0364389242901065,0.128358348133845,-1.55148604717309e-17,-0.307546215966709,-3.09178184739595e-19,-1.28602421888318,-0.089301249683488,-0.089301249683488
1.225,-0.311265595125741,-3.71937915903227,1.29818650302485,-0.0367536706041835,0.128253185436221,-1.55555713052833e-17,-0.311265595125741,-3.14074158958748e-19,-1.29818650302485,-0.0898266876287482,-0.0898266876287483
1.226,-0.315018384212438,-3.75278908669731,1.31040828649601,-0.0370696347834076,0.128145841143774,-1.5808742993047e-17,-0.315018384212438,-3.19069321989771e-19,-1.31040828649601,-0.09035218238727,-0.09035218238727
1.227,-0.318804762226368,-3.78637801393004,1.32268938901918,-0.0373868165752471,0.128036278428569,-1.62333024666301e-17,-0.318804762226368,-3.24218229955432e-19,-1.32268938901918,-0.0908776699178426,-0.0908776699178426
1.228,-0.322624906615299,-3.82014438893054,1.33502962026405,-0.0377052158169471,0.12792446007437,-1.65752452642172e-17,-0.322624906615299,-3.29496049887658e-19,-1.33502962026405,-0.0914030845847596,-0.0914030845847596
1.229,-0.32647899321291,-3.85408659761097,1.34742877962697,-0.038024832437742,0.127810348480066,-1.63791649632374e-17,-0.32647899321291,-3.34730984239228e-19,-1.34742877962697,-0.0919283591527962,-0.0919283591527962
1.23,-0.330367196176649,-3.88820296373501,1.35988665600967,-0.0383456664610754,0.127693905663393,-1.62879769099296e-17,-0.330367196176649,-3.39956595648364e-19,-1.35988665600967,-0.0924534247833431,-0.0924534247833431
1.23,-0.330367196176649,-3.88820296373501,1.35988665600967,-0.0383456664610754,0.127693905663393,-1.62879769099296e-17,-0.330367196176649,-3.39956595648364e-19,-1.35988665600967,-0.0924534247833431,-0.0924534247833431
1.231,-0.334289687925774,-3.92249174912541,1.37240302759713,-0.0386677180068219,0.127575093264948,-1.62879769061411e-17,-0.334289687925774,-3.45202163792998e-19,-1.37240302759713,-0.0929782110317291,-0.0929782110317291
1.232,-0.338246639079717,-3.95695115394237,1.38497766163516,-0.0389909872935154,0.127453872552505,-1.62533406577526e-17,-0.338246639079717,-3.50456368702315e-19,-1.38497766163516,-0.0935026458457779,-0.0935026458457779
1.233,-0.34223821839675,-3.99157931703348,1.39761031420738,-0.0393154746405762,0.127330204425638,-1.62533406553485e-17,-0.34223821839675,-3.55730372093179e-19,-1.39761031420738,-0.0940266555656189,-0.0940266555656189
