"time{s}","TurningAngularVel\system\BodyAngle\plot{rad}","TurningAngularVel\system\BodyAngularVel\plot{rad/s}","TurningAngularVel\system\MotorLAngle\plot","TurningAngularVel\system\BodyX\input","TurningAngularVel\system\BodyY\input","TurningAngularVel\system\TurningAngle\input","TurningAngularVel\system\BodyAngle\input{rad}","TurningAngularVel\system\BodyZ\input","TurningAngularVel\system\MotorRAngle\plot","TurningAngularVel\system\WheelMass\state","TurningAngularVel\system\WheelMass1\state"
1.513,7.42524240375922e-10,1.88178764153794e-08,-2.84982912565925,1.7773929203549e-11,0.13272,-0.880559056298596,7.42524240375922e-10,1.90956044945662e-11,-2.84982912241179,0.061969888126466,-0.0619698873354199
1.514,7.60935004095807e-10,1.84107636251076e-08,-2.86080602724785,1.84382916970451e-11,0.13272,-0.88395077195594,7.60935004095807e-10,1.99057559236628e-11,-2.86080602390252,0.0620853554926531,-0.0620853547233799
1.515,7.8061087178065e-10,1.96758675281714e-08,-2.8718033399699,1.91589996038796e-11,0.13272,-0.887348794378409,7.8061087178065e-10,2.07907356367277e-11,-2.87180333651413,0.0622008008577207,-0.062200800029538
1.516,8.00368545313798e-10,1.9757673533148e-08,-2.88282105992131,1.98758122726095e-11,0.13272,-0.890753122362128,8.00368545313798e-10,2.16770761410473e-11,-2.88282105635833,0.0623162241569417,-0.0623162233270358
1.517,8.20209094267497e-10,1.98405489536268e-08,-2.89385918320816,2.05886534822491e-11,0.13272,-0.89416375470344,8.20209094267497e-10,2.25646804448411e-11,-2.893859179538,0.0624316254231145,-0.0624316245914886
1.518,8.40136968918989e-10,1.99278746513353e-08,-2.90491770593589,2.12976174795977e-11,0.13272,-0.897580690198862,8.40136968918989e-10,2.34536617949689e-11,-2.90491770215817,0.0625470046605265,-0.0625470038270207
1.519,8.601483746012e-10,2.00114056819481e-08,-2.9159966242103,2.20023862842318e-11,0.13272,-0.901003927645233,8.601483746012e-10,2.4343615416773e-11,-2.91599662032493,0.0626623618731833,-0.0626623610380358
1.52,8.80259720642394e-10,2.01113460386053e-08,-2.92709593413825,2.27036467444932e-11,0.13272,-0.904433465839568,8.80259720642394e-10,2.52354059475198e-11,-2.92709593014496,0.0627776970657774,-0.062777696228251
1.52,8.80259720642394e-10,2.01113460386053e-08,-2.92709593413825,2.27036467444932e-11,0.13272,-0.904433465839568,8.80259720642394e-10,2.52354059475198e-11,-2.92709593014496,0.0627776970657774,-0.062777696228251
1.521,9.00438026232067e-10,2.01783055972877e-08,-2.9382156318268,2.33996412751213e-11,0.13272,-0.907869303579088,9.00438026232067e-10,2.61267858607141e-11,-2.93821562772591,0.0628930102413194,-0.062893009403062
1.522,9.2077117205641e-10,2.03331458025246e-08,-2.94935571338482,2.40945666173576e-11,0.13272,-0.911311439661305,9.2077117205641e-10,2.70231401260882e-11,-2.9493557091753,0.0630083014069293,-0.063008300563754
1.523,9.41051405134637e-10,2.02802330846194e-08,-2.96051617492011,2.47781174473527e-11,0.13272,-0.914759872883939,9.41051405134637e-10,2.79111295867248e-11,-2.96051617060338,0.0631235705596725,-0.063123569721666
1.524,9.61794241633224e-10,2.07428365109899e-08,-2.971697012545,2.5475307590136e-11,0.13272,-0.918214602044938,9.61794241633224e-10,2.88233409599198e-11,-2.97169700811725,0.0632388177212096,-0.063238816863539
1.525,9.8174581937451e-10,1.99515778308608e-08,-2.98289822236344,2.61251343978849e-11,0.13272,-0.921675625942467,9.8174581937451e-10,2.96797070494457e-11,-2.98289821783367,0.0633540428530282,-0.063354042036286
1.526,1.00398092131272e-09,2.22351013636497e-08,-2.99411980050262,2.68760758345397e-11,0.13272,-0.925142943374967,1.00398092131272e-09,3.06764885660313e-11,-2.99411979584775,0.0634692460638205,-0.063469245139614
1.527,1.02632109908667e-09,2.23401777739476e-08,-3.00536174306001,2.76224971962129e-11,0.13272,-0.928616553141029,1.02632109908667e-09,3.16744615316476e-11,-3.00536173828603,0.063584427230968,-0.0635844263045383
1.528,1.04876755224667e-09,2.24464531606163e-08,-3.01662404615135,2.83643166971393e-11,0.13272,-0.932096454039521,1.04876755224667e-09,3.26735114941569e-11,-3.01662404125804,0.0636995864112872,-0.0636995854826385
1.529,1.07132532931051e-09,2.25577770650548e-08,-3.02790670588987,2.91016378007879e-11,0.13272,-0.935582644869531,1.07132532931051e-09,3.36737699500577e-11,-3.02790670087721,0.0638147236090677,-0.0638147226780184
1.53,1.09399011344431e-09,2.26647841317252e-08,-3.03920971838987,2.98341188571365e-11,0.13272,-0.939075124430381,1.09399011344431e-09,3.46747631812236e-11,-3.03920971325752,0.0639298388282799,-0.0639298378951011
1.53,1.09399011344431e-09,2.26647841317252e-08,-3.03920971838987,2.98341188571365e-11,0.13272,-0.939075124430381,1.09399011344431e-09,3.46747631812236e-11,-3.03920971325752,0.0639298388282799,-0.0639298378951011
1.531,1.11678053714598e-09,2.27904237067167e-08,-3.05053307976626,3.05625026369512e-11,0.13272,-0.942573891521659,1.11678053714598e-09,3.56775000858134e-11,-3.05053307451391,0.0640449320736729,-0.0640449311375277
1.532,1.13965913225889e-09,2.2878595127327e-08,-3.0618767861344,3.12848925045063e-11,0.13272,-0.946078944943089,1.13965913225889e-09,3.66793516018617e-11,-3.06187678076213,0.0641600033480873,-0.0641600024108475
1.533,1.16272571956596e-09,2.30665873048909e-08,-3.07324083361126,3.20058201301813e-11,0.13272,-0.949590283494704,1.16272571956596e-09,3.76866118631872e-11,-3.07324082811816,0.0642750526590304,-0.0642750517159399
1.534,1.18574429515004e-09,2.30185755791186e-08,-3.08462521831261,3.27141693148954e-11,0.13272,-0.953107905976761,1.18574429515004e-09,3.86836896430867e-11,-3.08462521270022,0.0643900800025886,-0.0643900790651054
1.535,1.20930047551617e-09,2.35561805811208e-08,-3.09602993635938,3.34369168000863e-11,0.13272,-0.956631811189695,1.20930047551617e-09,3.97086665054422e-11,-3.09602993062314,0.0645050854027878,-0.0645050844427024
1.536,1.23196990675125e-09,2.26694311352162e-08,-3.1074549838627,3.41083130042561e-11,0.13272,-0.960161997934201,1.23196990675125e-09,4.06679896179495e-11,-3.10745497801304,0.0646200688152984,-0.0646200679014426
1.537,1.25724544802476e-09,2.52755409785732e-08,-3.11890035696025,3.48883154985126e-11,0.13272,-0.963698465011203,1.25724544802476e-09,4.17909326148187e-11,-3.11890035097091,0.0647350303630121,-0.0647350293268163
1.538,1.28265245451357e-09,2.54070064888134e-08,-3.13036605175558,3.5663102249838e-11,0.13272,-0.967241211221886,1.28265245451357e-09,4.29148403918996e-11,-3.13036604563335,0.0648499699060588,-0.0648499688670734
1.539,1.30819228158695e-09,2.55398270738006e-08,-3.1418520643729,3.64325868130897e-11,0.13272,-0.97079023536762,1.30819228158695e-09,4.40395781591937e-11,-3.14185205811773,0.0649648875083999,-0.0649648864666301
1.54,1.33387069600179e-09,2.56784144157441e-08,-3.15335839093394,3.71968833792993e-11,0.13272,-0.974345536249988,1.33387069600179e-09,4.51653001367339e-11,-3.15335838454537,0.0650797831743306,-0.0650797821295687
1.54,1.33387069600179e-09,2.56784144157441e-08,-3.15335839093394,3.71968833792993e-11,0.13272,-0.974345536249988,1.33387069600179e-09,4.51653001367339e-11,-3.15335838454537,0.0650797831743306,-0.0650797821295687
1.541,1.35968274167672e-09,2.58120456750197e-08,-3.16488502756084,3.79556238627464e-11,0.13272,-0.977907112670838,1.35968274167672e-09,4.62914485196179e-11,-3.16488502103867,0.0651946569077785,-0.0651946558603351
1.542,1.38564972789473e-09,2.59669862187042e-08,-3.17643197037679,3.87096143868862e-11,0.13272,-0.98147496343225,1.38564972789473e-09,4.74192091258386e-11,-3.17643196372064,0.0653095087135649,-0.0653095076624822
1.543,1.41172878244532e-09,2.60790545461439e-08,-3.18799921550518,3.94568067187567e-11,0.13272,-0.985049087336517,1.41172878244532e-09,4.85454930494914e-11,-3.18799920871533,0.0654243385943254,-0.0654243375417456
1.544,1.43803408398119e-09,2.6305301553901e-08,-3.19958675907133,4.02021001527438e-11,0.13272,-0.988629483186204,1.43803408398119e-09,4.96776937130633e-11,-3.1995867521465,0.0655391465580367,-0.0655391454985192
1.545,1.46429566135773e-09,2.62615773003851e-08,-3.21119459719886,4.09334872710449e-11,0.13272,-0.992216149784001,1.46429566135773e-09,5.07974930648097e-11,-3.21119459014081,0.0656539325996091,-0.0656539315462608
1.546,1.49118337010691e-09,2.68877089260541e-08,-3.22282272601743,4.16800992777173e-11,0.13272,-0.995809085932911,1.49118337010691e-09,5.19496241221358e-11,-3.22282271882092,0.0657686967459134,-0.0657686956664668
1.547,1.51706795813005e-09,2.58845888271085e-08,-3.23447114164514,4.23709823790428e-11,0.13272,-0.999408290436163,1.51706795813005e-09,5.30242100076465e-11,-3.23447113432207,0.0658834389456313,-0.06588343791882
1.548,1.54594472810028e-09,2.88767700873225e-08,-3.24613984023034,4.31786666763446e-11,0.13272,-1.00301376209716,1.54594472810028e-09,5.42904856500211e-11,-3.24613983275067,0.0659981593387215,-0.0659981581717267
1.549,1.56804919673867e-09,2.21044678268879e-08,-3.25782881785005,4.36833761205171e-11,0.13272,-1.00662549971965,1.56804919673867e-09,5.50880878344015e-11,-3.25782881028631,0.0661128575972043,-0.0661128567615277
1.55,1.60727871757791e-09,3.92295160716232e-08,-3.2695380707586,4.49061229244955e-11,0.13272,-1.0102435021075,1.60727871757791e-09,5.70360315614547e-11,-3.26953806293252,0.0662275345378532,-0.0662275328798106
1.55,1.60727871757791e-09,3.92295160716232e-08,-3.2695380707586,4.49061229244955e-11,0.13272,-1.0102435021075,1.60727871757791e-09,5.70360315614547e-11,-3.26953806293252,0.0662275345378532,-0.0662275328798106
1.551,1.64672088171645e-09,3.94421641122188e-08,-3.28126759497389,4.61221849790963e-11,0.13272,-1.01386776806477,1.64672088171645e-09,5.89889823587488e-11,-3.28126758693073,0.0663421891796689,-0.0663421875159329
1.552,1.68622548402578e-09,3.95046022992377e-08,-3.29301738664771,4.73249854518412e-11,0.13272,-1.01749829639581,1.68622548402578e-09,6.09363572971154e-11,-3.29301737838994,0.0664568219314852,-0.0664568202694191
1.553,1.72617398562619e-09,3.99485015868876e-08,-3.30478744191399,4.85303253225513e-11,0.13272,-1.02113508590532,1.72617398562619e-09,6.29038123716341e-11,-3.30478743343869,0.0665714328103139,-0.0665714311316117
1.554,1.76564728291415e-09,3.94732972354956e-08,-3.31657775689994,4.96996231984239e-11,0.13272,-1.02477813539804,1.76564728291415e-09,6.48281381630189e-11,-3.31657774821348,0.0666860217889373,-0.0666860201380839
1.555,1.80530536092776e-09,3.96580780136071e-08,-3.32838832774247,5.08602872177597e-11,0.13272,-1.02842744367896,1.80530536092776e-09,6.67540583463374e-11,-3.32838831884276,0.0668005889096514,-0.0668005872548914
1.556,1.84515035914587e-09,3.98449982170693e-08,-3.34021915057401,5.20121956832753e-11,0.13272,-1.03208300955342,1.84515035914587e-09,6.86813516907116e-11,-3.34021914146068,0.066915134160751,-0.0669151325020908
1.557,1.88519123619132e-09,4.00408770442772e-08,-3.35207022152875,5.31555075220377e-11,0.13272,-1.03574483182687,1.88519123619132e-09,7.06102663344833e-11,-3.35207021220143,0.0670296575465748,-0.0670296558836923
1.558,1.92542033594107e-09,4.02290997501609e-08,-3.36394153674155,5.42897029848747e-11,0.13272,-1.03941290930501,1.92542033594107e-09,7.25399024374531e-11,-3.36394152719997,0.0671441590708954,-0.0671441574042712
1.559,1.96587072464923e-09,4.04503886984493e-08,-3.375833092348,5.54159132254884e-11,0.13272,-1.04308724079384,1.96587072464923e-09,7.44721703255261e-11,-3.37583308259178,0.067258638738869,-0.0672586370670179
1.56,2.00647591703308e-09,4.06051924006713e-08,-3.38774488448426,5.65312577152202e-11,0.13272,-1.04676782509951,2.00647591703308e-09,7.64020878278704e-11,-3.38774487451339,0.0673730965522642,-0.0673730948785079
1.56,2.00647591703308e-09,4.06051924006713e-08,-3.38774488448426,5.65312577152202e-11,0.13272,-1.04676782509951,2.00647591703308e-09,7.64020878278704e-11,-3.38774487451339,0.0673730965522642,-0.0673730948785079
1.561,2.04741304340129e-09,4.09371264489986e-08,-3.39967690928808,5.76426120014431e-11,0.13272,-1.05045466102849,2.04741304340129e-09,7.83415715312567e-11,-3.39967689910109,0.0674875325211333,-0.0674875308370322
1.562,2.08826333839317e-09,4.08502948237853e-08,-3.41162916289519,5.87331388406523e-11,0.13272,-1.05414774738734,2.08826333839317e-09,8.02611063429219e-11,-3.41162915249469,0.0676019466352615,-0.0676019449611465
1.563,2.13006589602348e-09,4.18025573267315e-08,-3.42360164144953,5.98436390652308e-11,0.13272,-1.05784708298287,2.13006589602348e-09,8.22327464366602e-11,-3.42360163082759,0.0677163389340114,-0.0677163372198286
1.564,2.17029340610232e-09,4.0227509067071e-08,-3.43559434107715,6.08748316770578e-11,0.13272,-1.06155266662231,2.17029340610232e-09,8.4079547034266e-11,-3.43559433025209,0.0678307093354585,-0.0678307077033402
1.565,2.2151434405938e-09,4.4850034225549e-08,-3.4476072579505,6.20678710909251e-11,0.13272,-1.06526449711288,2.2151434405938e-09,8.62349729246385e-11,-3.44760724687574,0.0679450580543891,-0.0679450562052326
1.566,2.26022510448659e-09,4.50816638927904e-08,-3.45964038818112,6.32510457500802e-11,0.13272,-1.06898257326214,2.26022510448659e-09,8.83914539808085e-11,-3.45964037686872,0.0680593848393567,-0.068059382985287
1.567,2.30554080684328e-09,4.5315702356942e-08,-3.47169372791667,6.44242263414675e-11,0.13272,-1.07270689387788,2.30554080684328e-09,9.05487326893599e-11,-3.47169371636616,0.0681736898005858,-0.0681736879416119
1.568,2.35110077611363e-09,4.5559969272655e-08,-3.48376727329942,6.55875855558233e-11,0.13272,-1.07643745776809,2.35110077611363e-09,9.27070977502467e-11,-3.48376726151034,0.0682879729424315,-0.068287971078185
1.569,2.3968962091996e-09,4.57954330844683e-08,-3.49586102047226,6.67405737824069e-11,0.13272,-1.08017426374099,2.3968962091996e-09,9.48654940449618e-11,-3.49586100844428,0.0684022342685986,-0.0684022323996307
1.57,2.44296494913185e-09,4.60687399274816e-08,-3.50797496557901,6.78844000455585e-11,0.13272,-1.08391731060502,2.44296494913185e-09,9.70261604380883e-11,-3.50797495331162,0.0685164737843775,-0.068516471908988
1.57,2.44296494913185e-09,4.60687399274816e-08,-3.50797496557901,6.78844000455585e-11,0.13272,-1.08391731060502,2.44296494913185e-09,9.70261604380883e-11,-3.50797495331162,0.0685164737843775,-0.068516471908988
1.571,2.48923082759611e-09,4.62658784566864e-08,-3.52010910476377,6.90160041424225e-11,0.13272,-1.08766659716892,2.48923082759611e-09,9.9183259339523e-11,-3.52010909225696,0.0686306914911786,-0.0686306896131726
1.572,2.53589667781433e-09,4.66658501713334e-08,-3.53226343417269,7.01426982102734e-11,0.13272,-1.09142212224157,2.53589667781433e-09,1.01350747179625e-10,-3.53226342142469,0.0687448873999001,-0.0687448855096127
